stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
13,1,19.0,23.306162199936807,,23.29658260010183,23.306162199936807,23.807149299886078,23.807149299886078,23.807149299886078,24.106227400247008,31.978402399923652,right,19.0,1,1,8.161452999804169,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
14,1,19.0,31.98952510021627,,31.978517400100827,31.98952510021627,32.48951950017363,32.48951950017363,32.48951950017363,32.789371700026095,40.24491180013865,left,-19.0,0,0,7.740132100414485,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
15,1,20.0,40.25556380022317,,40.24501409986988,40.25556380022317,40.75589990010485,40.75589990010485,40.75589990010485,41.05550350015983,41.878418299835175,left,-20.0,1,1,1.1158129996620119,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
16,1,20.0,41.888800700195134,,41.87851550010964,41.888800700195134,42.38922489993274,42.38922489993274,42.38922489993274,42.689028799999505,43.23172779986635,right,20.0,1,1,0.8408832000568509,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
17,0.5,20.0,43.238644199911505,,43.231856000144035,43.238644199911505,43.73898690007627,43.73898690007627,43.73898690007627,44.03885990008712,44.67575149983168,left,-20.0,1,1,0.9250642000697553,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
18,0.5,19.5,44.68823739979416,,44.67582480004057,44.68823739979416,45.189484199974686,45.189484199974686,45.189484199974686,45.48875520005822,45.96143089979887,left,-19.5,0,0,0.7622611997649074,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
19,0.5,20.0,45.97206290019676,,45.96156169986352,45.97206290019676,46.472287099808455,46.472287099808455,46.472287099808455,46.772555199917406,47.928846899885684,left,-20.0,0,0,1.4498997000046074,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
20,0.5,20.0,47.93873680010438,,47.92894949996844,47.93873680010438,48.43909450015053,48.43909450015053,48.43909450015053,48.73931370023638,54.311000199988484,left,-20.0,1,1,5.859178199898452,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
21,0.5,20.0,54.32135730003938,,54.31109400000423,54.32135730003938,54.822012700140476,54.822012700140476,54.822012700140476,55.12230530008674,55.8953694999218,right,20.0,1,1,1.0687498999759555,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
22,0.5,20.0,55.90540360007435,,55.89547370001674,55.90540360007435,56.405343499965966,56.405343499965966,56.405343499965966,56.705233599990606,57.645428999792784,right,20.0,1,1,1.2343126996420324,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
